,Quantity
total_data,350
total_train_data,245
total_test_data,105
train_data_shape,"torch.Size([1, 3, 128, 128])"
train_label_shape,"torch.Size([1, 3, 128, 128])"
test_data_shape,"torch.Size([16, 3, 128, 128])"
test_label_shape,"torch.Size([16, 3, 128, 128])"
